ID	English	French	PrettyFrench	Type	Etymology	Definition
1266	samaroid	samaroïde	samaroide	adj.	lat. samara, graine d'Orme	
1267	sandstone	grès	gres	n.m.		
1268	sandstone	gréseux	greseux	adj.		
1269	sap	sève	seve	n.f.	lat. sapa, vin cuit	
1270	sap	suc	suc	n.m.		
1271	saprophyte	saprophyte	saprophyte	n.m.	gr. sapros, pourri, phuton, plante	
1272	saprophyte	sève	seve	n.f.	lat. sapa, vin cuit	
1273	sap-wood	aubier	aubier	n.m.	lat. alburnum & albus, blanc	
1274	sarcotesta	sarcotesta	sarcotesta	n.m.	gr. sarx, chair, lat. testa, coquille dure	
1275	sarmentose	sarmenteux	sarmenteux	adj.	lat. sarmentum, sarment	végétal ligneux à tige souple, relativement grêle, très longue mais non volubile, inapte à s'élever sans support
1276	scabrous	scabre	scabre	adj.	lat. scaber, rude, raboteux	rude, râpeux ou accrochant au toucher
1277	scalariform	en barreaux d'échelle?	en barreaux d'echelle?	adj.		ressembling a ladder
1278	scale	écaille	ecaille	n.f.	germ. skalja, tuile	petite bractée sèche
1279	scaled	écailleux	ecailleux	adj.		type d'indument présentant de petits disques plans
1280	scale-like	écailles, en forme	ecailles, en forme	adj.		
1281	scaly, bulbs	écailleux, bulbes	ecailleux, bulbes	adj.		écailleux, bulbes (feuilles restent étroites)
1282	scandent=climbing	grimpant	grimpant	adj.		
1283	scant	abondant, peu	abondant, peu	adj.		
1284	scape, floral	hampe florale	hampe florale	n.f.		
1285	scar	cicatrice	cicatrice	n.f.		
1286	scar, leaf	cicatrice foliaire	cicatrice foliaire	n.f.		
1287	scarcely	à peine	a peine	adv.		
1288	scarious	scarieux	scarieux	adj.	lat. scara, arbre épineux	membraneux, translucide ou transparent, souvent de couleur paille
1289	scattered	diffus	diffus	adj.		étalé dans toutes les directions
1290	scattered	parsemé de	parseme de	v. tr.		
1291	scattered prickles	diffuses, épines aigües	diffuses, epines aigües	adj.		
1292	schizocarp	schizocarpe	schizocarpe	n.m.	gr. skhizein, fendre, karpos, fruit	fruit provenant d'1 gynécée syncarpe et se fragmentant en morceaux (méricarpes)
1293	sclerenchyma	sclérenchyme	sclerenchyme	n.m.	gr. sklêros, dur & parenkhuma	tissu de soutien composé de cellules à membranes + ou - ligneuses
1294	sclerified	sclérifié	sclerifie	adj.	gr. sklêros, dur	
1295	sclerite	sclérite	sclerite	n.f.	gr. sklêros, dur	cell. Précocément morte, à paroi intensément lignifiée (rarement cutinisée ou squbérisée)=cellules scléreuses ou scléréides
1296	sclerophyllous	sclérophylle	sclerophylle	adj.	gr. sklêros, dur, phullon, feuille	d'une plante ligneuse tjrs verte, à feuilles coriaces, souvent luisantes, adaptées à des conditions de sécheresse
1297	scorpioid	scorpioïde	scorpioide	adj.	lat. scorpio, scorpion	disposition d'1 cyme unipare
1298	scrambler					
1299	scrambling	sarmenteux	sarmenteux	adj.	lat. sarmentosus	
1300	scurfy brown	péllicules brunes, avec des	pellicules brunes, avec des			
1301	scutellum	scutellum	scutellum	n.m.	lat. scutum, bouclier, écusson	
1302	secretory	sécréteur	secreteur	adj.		élabore des substances
1303	seed	graine	graine	n.f.		
1304	seed coat	testa	testa	n.m.	lat. testa, coquille dure	tégument externe de la graine
1305	seedling	plantule	plantule	n.f.	lat. planta, plante	jeune plante encore incluse dans la graine
1306	segment	segment	segment	n.m.		
1307	semi-inferior	semi-infère	semi-infere	adj.		ovaire partiellement enfoui dans le réceptacle ou le tube calicinal
1308	seminode	graine avortée	graine avortee	n.f.		
1309	semi-parasite	semi parasite	semi parasite	n.m.		
1310	senescence	sénescence	senescence	n.f.	lat. senescere, vieillir	
1311	sepal	sépale	sepale	n.m.	gr. skepé, couverture, petalon, pétale	
1312	sepaloid	sépaloïde	sepaloide	adj.	gr. skepé, couverture, petalon, pétale	qui mime un sépale
1313	septate	cloisonné	cloisonne	adj.	lat. septum, cloison	divided by a partition(s).
1314	septicidal	septicide	septicide	adj.	lat. septum, cloison, coedere, fendre	mode de déhiscence d'une capsule
1315	septicidally dehiscent	septicide, déhiscence	septicide, dehiscence	adj.	lat. septum, cloison, coedere, fendre	suivant la ligne de deux carpelles adjacents
1316	septifragal	septifrage, déhiscence	septifrage, dehiscence	adj.		loculicide ou septicide mais graines réunies sur une colonne ou une fausse cloison en position centrale
1317	septum (pl. septa)	septum (pl. septa)	septum (pl. septa)	n.m.	lat. septum, cloison	cloison (des septa)
1318	seriate	sérié	serie	adj.		
1319	sericeous	soyeux	soyeux	adj.		
1320	serrate	serreté	serrete	adj.	lat. serratus, à bordure dentelée	Qui porte des dents comme une scie
1321	serrulate	serrulé	serrule	adj.	lat. serratus, petite scie	finely toothed leaf margin
1322	sessile	sessile	sessile	adj.	lat. sessilis	dépourvu de pétiole ou de pédoncule
1323	shade	teinte	teinte	n.f.		
1324	shade plant	sciaphile	sciaphile	adj.	gr. skia, ombre, philos, ami	qui préfère l'ombre
1325	shade-tolerant	sciaphile	sciaphile	adj.	gr. skia, ombre, philos, ami	d'une plante croissant dans des endroits ombragés
1326	shallowly	superficiellement	superficiellement	adv.		
1327	sharp spine	acérée, épine	aceree, epine	adj.		
1328	sharply curved 	brusquement courbé?	brusquement courbe?	adv.		
1329	sheath	gaine	gaine	n.f.		
1330	sheathing	engainant	engainant	adj.		formant une gaine autour d'1 autre organe
1331	shedding its leaves	défeuiller	defeuiller	v. tr.		
1332	shiny	brillant	brillant	adj.		
1333	shoot	pousse	pousse	n.f.		
1334	shoot	pousse aérienne	pousse aerienne	n.f.		
1335	shoots, short	rameaux courts	rameaux courts	n.m.	lat. ramus	
1336	shoring the tree up, as if 	accotement (contrefort)	accotement (contrefort)	n.m.		
1337	short style	brévistylé	brevistyle	adj.		fleur à style court
1338	short, shortly	brièvement	brievement	adv.		
1339	showy	éclatant	eclatant	adj.		
1340	shriveling	flétrir, se	fletrir, se	v. tr.		
1341	shrub	buisson	buisson	n.m.		
1342	shrunk	rétréci	retreci	adj.		
1343	shuttle-cock	volant (badmington)	volant (badmington)	n.m.	lat. volare	
1344	sigmoid	sigmoïde	sigmoide	adj.	gr. sigmoeidês, forme d'un sigma majuscule	qui a la forme d'un sigma majuscule G
1345	silicula (silicle)	silicule	silicule	n.f.	lat. siliqua, silique	fruit sec déhiscent à peine + long que large, dérivant d'1 gynécée à 2 carpelles avec fausse-cloison
1346	siliquae	silique	silique	n.f.	lat. siliqua, silique	fruit sec déhiscent nettement + long que large, dérivant d'1 gynécée à 2 carpelles avec fausse-cloison
1347	silky	soyeux	soyeux	adj.		couverts de poils brillants, couchés et + ou - raides
1348	simple	simple	simple	adj.		non ramifié
1349	simply	simplement	simplement	adv.		
1350	sinuate	sinué	sinue	adj.	lat. sinuosus, courbe	à bords flexueux tout en courbes molles
1351	sinuous	sinueuse, direct	sinueuse, direct	adj.		
1352	sinus	sinus	sinus	n.m.	lat. sinus, ouverture	échancrure entre 2 lobes d'1 organe
1353	slash (of the bark)	entaille (de l'écorce)	entaille (de l'ecorce)	n.f.		
1354	slash, oblique	entaille oblique	entaille oblique	n.f.		
1355	slender	gracile	gracile	adj.		
1356	slender	grêle	grele	adj.		
1357	slit	fente	fente	n.f.		
1358	sluicing	vannage	vannage	n.m.	lat. vannere	
1359	smooth	lisse	lisse	adj.		
1360	soft spines	mousses, épines	mousses, epines	adj.		
1361	soften	ramollir	ramollir	v. tr.		
1362	solitary	solitaire	solitaire	adj.		
1363	sorosis	syncarpe	syncarpe	n.m.	gr. syn, avec, karpos, fruit	multiple fruit derived from the ovaries of several flowers (drupéoles)
1364	sorus (pl. sori)	sore (s)	sore (s)	n.m.	gr. sôros, tas	Groupes de sporanges sur les feuilles de fougères.
1365	spadix	spadice	spadice	n.m.	gr. spadix	inflo. Indéfinie (ie centripète) avec fleurs sessiles ..
1366	sparsely	peu	peu	adv.		
1367	spathaceous	spathe, en forme de 	spathe, en forme de 	n.f.	gr. spâthe, navette de tisserand	
1368	spathe	spathe	spathe	n.f.	gr. spâthe, navette de tisserand	gde pièce à valeur de bractée qui enveloppe l'inflorescence en spadice
1369	spathe-like	spathacé	spathace	adj.	gr. spâthe, navette de tisserand	en forme de spathe
1370	spathulate	spathulé	spathule	adj.		
1371	spatulate	spatulé	spatule	adj.	lat. spathula, dimininutif de spatha, épée	plat qui s'élargit evrs son extrémité
1372	species	espèce	espece	n.f.		
1373	sphere, in a	boule, en	boule, en	n.f.		
1374	spherical	sphérique	spherique	adj.		
1375	spicate	spiciforme	spiciforme	adj.	lat. spicus, épi	
1376	spike	épi	epi	n.m.	lat. spica, pointe	Inflorescence à un seul axe principal portant des fleurs sessiles.
1377	spike of glomerules	épi de glomérules	epi de glomerules	n.m.		
1378	spikelet	épillet	epillet	n.m.	lat. spica, épi, épine	innflorescence particulière de Poacae
1379	spindle-shaped	fusiforme	fusiforme	adj.		
1380	spine	épine	epine	n.f.	lat. spica, épi, épine	
1381	spine-tipped	épine, terminé en	epine, termine en	n.f.		
1382	spinose	épineux	epineux	adj.	lat. spica, épi, épine	
1383	spinose	spinescent	spinescent	adj.	lat. spina, épine	
1384	spinulose	spinuleux	spinuleux	adj.	lat. spina, épine	
1385	spiral, spiraled	spiralé	spirale	adj.		
1386	spiral, wound round in a	hélice, tordu en	helice, tordu en	n.f.		
1387	splitting	séparant, se	separant, se	v. tr.		
1388	spongy	spongieux	spongieux	adj.		
1389	spontaneous	spontané	spontane	adj.		
1390	sporangiate	sporangé	sporange	adj.		
1391	sporangium (pl. sporangia)	sporange (s)	sporange (s)	n.m.	gr. spopra, semence, aggeion, vase	Structure dans laquelle sont contenues les spores.
1392	spore	spore	spore	n.m.	gr. spopra, semence	Structure reproductive des fougères
1393	spot	point, ponctué	point, ponctue	n.m.		
1394	spotted	tacheté	tachete	adj.		
1395	spotted, bark	tavelée, écorce	tavelee, ecorce	adj.	lat. tabella, planchette	
1396	spotted, blotched	maculé	macule	v. tr.		
1397	spread	étalé	etale	adj.		
1398	spread flat	s'étalant à plat	s'etalant a plat	v. tr.		
1399	spur	éperon	eperon	n.m.	germ. sporo éperon	a short thin side shoot from a branch, especially one that bears fruit or, in conifers, the shoots that bear the leaf
1400	squarish	quadrangulaire	quadrangulaire	adj.		
1401	squarish stem	quadrangulaire, tige	quadrangulaire, tige	adj.		
1402	squat	courtaud 	courtaud 	adj.		
1403	stabilization	fixation	fixation	n.f.		
1404	staggered	vacillante	vacillante	adj.	lat. vacillare	
1405	stalk, fleshy	tige charnue	tige charnue	n.f.		pour fleurs, fruits, périanthe
1406	stalked	pédicellé	pedicelle	adj.		pour inflorescences, fruits
1407	stalked	pédonculé	pedoncule	adj.		pour feuilles
1408	stalked	pétiolé	petiole	adj.	lat. petiolus, petit pied	pour folioles
1409	stalked	pétiolulé	petiolule	adj.	lat. petiolus, petit pied	pour ovaire, poils, capsule
1410	stalked	stipité	stipite	adj.	lat. stipes, tige	porté par un stipe
1411	stamen	étamine	etamine	n.f.	lat. stamina, fil	
1412	staminal	staminal	staminal	adj.		
1413	staminate	staminé	stamine	adj.	lat. stamina, fil	fleur pourvue d'étamines
1414	staminodia	staminodes	staminodes	n.m.	lat. stamina, fil & et eidos, ressemblant	étamine atypique, stérile …
1415	staminodial	staminodial	staminodial	adj.	lat. stamina, fil & et eidos, ressemblant	qualifie une étamine stérile ou non fonctionnelle
1416	standard	étendard	etendard	n.m.	francique standhard, inébranlable	Pétale supérieur des fleurs papilionacées chez Fabaceae
1417	standard	vexillum	vexillum	n.m.	lat. vexillum, étendard	étendard chez les Fabaceae
1418	star-shaped	étoilé	etoile	adj.		
1419	stele	stèle	stele	n.f.	gr. stela, colonne	
1420	stellate	stellé, indument	stelle, indument	adj.	lat. stella, étoile	
1421	stem	rameau	rameau	n.m.	lat. ramus	
1422	stem	tige	tige	n.f.	lat. tibia, flûte	
1423	stem	tronc	tronc	n.m.	lat. truncus	
1424	sterile	stérile	sterile	adj.		
1425	sticky	poisseux	poisseux	adj.		
1426	sticky viscid	poisseux-visqueux	poisseux-visqueux	adj.		
1427	stiff	raide	raide	adj.		
1428	stigma	stigmate	stigmate	n.m.	lat. stigma, marque	partie terminale du gynécée
1429	stigmatetic	stigmatique	stigmatique	adj.		
1430	stilt roots	racines-échasses	racines-echasses	n.f.		
1431	stinging	piquant	piquant	v. tr.		
1432	stipe	stipe	stipe	n.m.	lat. stipes, tige	
1433	stipel	stipelle	stipelle	n.f.	lat. stipula, petite tige	pièce située en dessous du niveau d'insertion d'une foliole ou d'une penne sur le rachis principal de la feuille
1434	stipel-like points	stipellaires?, pointes	stipellaires?, pointes	adj.		
1435	stipitate	pédicellé	pedicelle	adj.	lat. pedicellus, petit pied	
1436	stipitate	stipité	stipite	adj.	lat. stipes, tige	
1437	stipitiform	stipitiforme	stipitiforme	adj.	lat. stipes, tige	
1438	stipular	stipulaire	stipulaire	adj.	lat. stipula, petite tige	
1439	stipulate	stipules présentes	stipules presentes	n.f.pl.	lat. stipula, petite tige	
1440	stipule	stipule	stipule	n.f.	lat. stipula, petite tige	
1441	stock	souche	souche	n.f.		
1442	stolon	stolon	stolon	n.m.	lat. stolo, rejeton	
1443	stomata	stomate	stomate	n.m.	gr. stomaios, bronche	
1444	stone	noyau	noyau	n.m.		endocarpe+ graine
1445	stone fruit	drupe	drupe	n.f.	lat. drupa, olive mûre	
1446	stony	pierreux	pierreux	adj.		
1447	stooling					
1448	stout	épais	epais	adj.		
1449	stout	robuste	robuste	adj.		
1450	stout spines	robustes, épines	robustes, epines	adj.		
1451	straggling	tout en longueur, poussant	tout en longueur, poussant			
1452	straight	droit	droit	adj.		
1453	straightness	rectitude	rectitude	n.f.		
1454	strap-like	lanière, ressemblant à 1	laniere, ressemblant a 1	n.f.		
1455	striated	strié	strie	adj.		
1456	strip	lanière	laniere	n.f.		
1457	strong wood	résistant, bois	resistant, bois	adj.		
1458	strongly	fortement	fortement	adv.		
1459	stumpy	courtaud	courtaud	adj.		
1460	stylar	stylaire	stylaire	adj.	gr. stulos, colonne	
1461	style	style	style	n.m.	gr. stulos, colonne	
1462	stylode	stylode	stylode	n.m.	gr. stulos, colonne, eidos, ressemblant	
1463	stylopodium	stylopode	stylopode	n.m.	gr. stulos, colonne, pod, pied	pt disque nectarifère charnu qui couronne le fruit (diakène) et qui porte les 2 styles distincts 
1464	stylopodium	stylopode	stylopode	n.m.	gr. stulos, colonne & eidos, ressemblant	
1465	sub-	sub-	sub-	préfixe	lat. sub, sous	
1466	subapical	subapical	subapical	adj.		
1467	subcordate	subcordé	subcorde	adj.		
1468	suberose	liégeux	liegeux	adj.	lat. levius, matériau léger	
1469	subopposite	subopposé	suboppose	adj.		
1470	sub-sessile	subsessile	subsessile	adj.		pétiole très court
1471	subshrubs	buissonnantes, petites plantes	buissonnantes, petites plantes			
1472	subspecies	sous-espèce (s)	sous-espece (s)	n.f.		
1473	subtended	sous-tendu	sous-tendu	v. tr.		
1474	subulate	subulé	subule	adj.	lat. subula, alène	qui se termine très progressivement en pointe très aigue comme une alène
1475	succession, in	successifs, articles	successifs, articles	adj.		
1476	successive	successifs, articles	successifs, articles	adj.		
1477	succulent	succulent	succulent	adj.	lat. sucuus, suc	possédant des tissus charnus et riches en eau
1478	sucker	suçoir	sucoir	n.m.	lat. sugere, sucer	
1479	suffrutescent	suffrutescent	suffrutescent	adj.	lat. sub, sous, frutex, arbrisseau	woody at the base but herbaceous branches
1480	sulphur	soufre	soufre	n.m.		
1481	sunken	noyé, enfoui	noye, enfoui	v. tr.		
1482	sunken	tapissant	tapissant	v. tr.		
1483	superior	supère	supere	adj.	lat. superior, supérieur	ovaire libre auquel aucune autre pièce florale n'adhère, celles ci étant toutes insérées sous la base de l'ovaire
1484	supple	souple	souple	adj.		
1485	supra-axillary	supra-axillaire	supra-axillaire	adj.		
1486	suture	suture	suture	n.f.	lat. sutura, couture	chacune des lignes visibles à la surface de l'ovaire, puis du fruit ..
1487	swelling	renflement	renflement	n.m.		
1488	swollen	renflé	renfle	adj.		
1489	swollen at its top	renflé en tête	renfle en tete	adj.		
1490	syconium	sycone	sycone	n.m.		inflo. ou infrutescence comme chez Ficus
1491	symbiosis	symbiose	symbiose	n.f.	gr. syn, avec, gr. bios, vie	
1492	symmetrical	symétrique	symetrique	adj.		
1493	sympetalous					
1494	sympodial branching	sympodial, sympode	sympodial, sympode	adj. n.m.	gr. syn, avec, podos, pied	mode de ramification
1495	syncarpe	syncarpe	syncarpe	n.m.	gr. syn, avec, karpos, fruit	
1496	syncarpic, fruit	syncarpe, le fruit est un	syncarpe, le fruit est un	n.m.	gr. syn, avec, karpos, fruit	de s'embrancher sans axe principal simple et constant, mais à la
1497	syncarpous	syncarpe	syncarpe	adj.	gr. syn, avec, karpos, fruit	place avec les branches latérales transformées en prolongation
1498	synchronous	synchrone	synchrone	adj.		terminale de branche.
1499	synergidae	synergide	synergide	n.f.	gr. syn, avec, energia, énergie	
1500	syntype	syntype	syntype	n.m.		
1501	tan	ocre, brun-rouge	ocre, brun-rouge	adj.		
1502	tannin	tanin ou tannin	tanin ou tannin	n.m.		
1503	tapering, tapered	effilé	effile	adj.		
1504	tap-root	pivotante, racine	pivotante, racine	adj.		
1505	tardily	tardivement	tardivement	adv.		
1506	taxonomy	taxinomie	taxinomie	n.f.	gr. taxis, arrangement	
1507	tearing	déchirant, se	dechirant, se	v. tr.		
1508	teeth-like	dentiforme	dentiforme	adj.		
1509	tegument	tégument	tegument	n.m.	lat. tegere, couvrir	enveloppe protectrice de l'ovule ou de la graine (prinine et secondine)
1510	tendril	vrille	vrille	n.f.	lat. viticula	paroi d'1 fruit sec déhiscent se scinde en plusieurs valves à maturité
1511	tenuous	subtile	subtile	adj.		
1512	tepal	tépale	tepale	n.m.pl	combinaison des mots pétale & sépale	
1513	terete	ronde, à section	ronde, a section	adj.		smooth, cylindrical & tapering
1514	terminal	terminale	terminale	adj.		
1515	terminal bud	terminal, bourgeon	terminal, bourgeon	adj.		bourgeon au sommet de l'axe
1516	ternate	terné	terne	adj.	lat. terni, par trois	d'une feuille divisée en 3 folioles, elle divisées par 3,
1517	tertiary	tertiaire	tertiaire	adj.		
1518	tessellated	tessellé	tesselle	adj.	lat. tessere, tisser	présentant un réseau dense de nervures
1519	testa	testa	testa	n.m.	lat. testa, coquille dure	
1520	tetra-	tétra-	tetra-	préfixe	gr. tettara, quatre	
1521	tetradidynamous	tétradidyname	tetradidyname	adj.		d'un androcée à 6 étamines inégales dont 4 longues et 2 courtes
1522	tetradynamous	tétradyname	tetradyname	adj.		4 étamines longues, 2 courtes ds l'androcée
1523	tetramerous	tétramère, 4-mère	tetramere, 4-mere	adj. & n.f.		
1524	tetrasporangiate	tétrasporangées (anthères)	tetrasporangees (antheres)	adj.		
1525	thalamus	thalamus	thalamus	n.m.	gr. thalamos, couche nuptiale	réceptacle floral plan, bombé ou étiré en colonnette …(androgynophore et gynophore)
1526	theca	thèque	theque	n.f.	gr. thêkê, loge	partie de l'anthère renfermant le pollen, contenu dans 2 sacs polliniques
1527	thickened	épais	epais	adj.		
1528	thickened	épaissi	epaissi	adj.		
1529	thicket	fourré	fourre	n.m.		
1530	thin	mince	mince	adj.		
1531	thorn	épine	epine	n.f.	lat. spica, épi, épine	
1532	thorn	ronce	ronce	n.f.		
1533	thorny teeth	épineuse, dent	epineuse, dent	adj.		
1534	thread-like 	filiforme	filiforme	adj.		
1535	throat	gorge	gorge	n.f.	lat. gurges, gouffre	
1536	thyrse	thyrse	thyrse	n.f.	gr. thyrso	inflorescence en grappe fusiforme
1537	tiers	étage	etage	n.m.		
1538	tiers	gradins	gradins	n.m.		
1539	tightly	serré	serre	adj.		
1540	tiller?	talle	talle	n.m.	gr. tallos, rameau	chacune des ramifications qui naissent au collet d'1 plante et qui constituent, peu à peu, une touffe
1541	tip	bout	bout	n.m.		
1542	tip	pointe	pointe	n.f.		
1543	tomentose	tomentum	tomentum	n.m.	mot latin	indument formé de poils mous, serrés, couchés et entrecroisés, recouvrant et cachant quasi entièrement le support
1544	tongue-like	linguiforme	linguiforme	adj.	lat. lingua, langue	en forme de langue, de languette
1545	toothed, n-	denté, n-	dente, n-	adj.		
1546	tooth-like	dentiforme	dentiforme	adj.		
1547	topped	surmonté	surmonte	v. tr.		
1548	torulose	toruleux	toruleux	adj.	lat. torulus, renflé	renflés de loin en loin avec des étranglements intermédiaires (silique)
1549	torus	torus	torus	n.m.	lat. torus, corde	(lat. torus, corde), …renflement en forme de lentille biconvexe
1550	translucent	translucide (point, linéole, glande)	translucide (point, lineole, glande)		lat. translucidus	
1551	transparent	transparent	transparent	adj.		
1552	tree	arbre	arbre	n.m.	lat. arbor, arbre	
1553	treelet	arbrisseau	arbrisseau	n.m.	lat. arbor, arbre	
1554	treelike	arborescent	arborescent	adj.	lat. arborescere, devenir arbre	
1555	trees, bushy	arbustes buissonnants	arbustes buissonnants	n.m.		
1556	tri	tri-	tri-	préfixe	lat. & gr. tri, trois	
1557	triad	triade	triade	n.f.	gr. triados	
1558	triangular	triangulaire	triangulaire	adj.	lat. triangularis	
1559	triangular in cross section	triquètre	triquetre	adj.	gr. trikhé, triplement, edra, base	de section triangulaire
1560	trichome	trichome	trichome	n.m.	gr. trikhôma, touffe de poils	ensemble de poils tapissant la surface
1561	trichotomous	trichotome	trichotome	adj.	gr. tricho, trois, tomos, couper	
1562	tricolpate					for pollen grain having three colpi (dycot)
1563	trifid	trifide	trifide	adj.	lat. findere, fendre	se termine par trois pointes
1564	trifoliate	trifolié	trifolie	adj.	lat. folium, feuille	
1565	trifoliolate	trifoliolé	trifoliole	adj.	lat. folium, feuille	divisé en 3 folioles
1566	trigonous	trigone	trigone	adj.	gr. gônis, angle	présente 3 angles nets (donc 3 faces)
1567	trilobed	trilobé	trilobe	adj.		
1568	trilocular	triloculaire	triloculaire	adj.		
1569	trimerous	trimère (3-mère)	trimere (3-mere)	adj.		
1570	tripinnate	tripenné	tripenne	adj.		
1571	triplinerved	triplinerve	triplinerve	adj.	gr. triplous, triple, nervous, nerf	
1572	tristichous	tristique	tristique	adj.	gr. stikhos, ligne	disposition des feuilles sur certaines tiges, angle de divergence =120°, sur tois plans
1573	tropism	tropisme	tropisme	n.m.	gr. tropos, tour	
1574	truncate	étêté	etete	adj.		squared off at the apex
1575	truncate	tronqué	tronque	adj.	lat. truncare	qui donne l'impression d'être brusquement interrompu ds sa morphologie d'ensemble
1576	trunciflorous	cauliflore?	cauliflore?		lat. caulis, tige & Flora, déesse des fleurs	
1577	trunk	fût (terme commercial)	fut (terme commercial)	n.m.		
1578	trunk	tronc	tronc	n.m.	lat. truncus	
1579	tube	faisceau	faisceau	n.m.	lat. fascellus, botte, paquet	
1580	tube	tube	tube	n.m.	lat. tubus	
1581	tuber	tubercule	tubercule	n.m.	lat. tuberculum, petite bosse	
1582	tubercle	tubercule	tubercule	n.m.	lat. tuberculum, petite bosse	
1583	tuberculate	tuberculé	tubercule	adj.	lat. tuberculum, petite bosse	surface covered with small warty projections (rind of ridge cucumbers)
1584	tuberous	tubéreux	tubereux	adj.	lat. tuberosus, garni de protubérances	qui différencie régulièrement des tubercules
1585	tubular	tubulaire	tubulaire	adj.	lat. tubulatus	
1586	tuft of hairs	poils en touffe	poils en touffe	n.m.		
1587	tuft pocket	poils, aigrette de	poils, aigrette de	n.m.		
1588	tufted	touffe, en	touffe, en	n.f.		
1589	turban-shaped	turban, en forme de	turban, en forme de	n.m.		
1590	turbinate	turbiné	turbine	adj.	lat. turbio, toupie	en forme de toupie, de cône
1591	turion	turion	turion	n.m.	lat. turio, bourgeon	bourgeon se développant sur les rhizomes
1592	turpentine	térébenthine 	terebenthine	n.f.	lat. terbentine	
1593	twig	rameau	rameau	n.m.	lat. ramus	
1594	twig	ramille	ramille	n.f.		
1595	twining	volubile	volubile	adj.	lat. volubilis	végétal qui s'élève en enroulant sa tige autour d'un support contre lequel il demeure
1596	twisted	vrillé	vrille	adj.	lat. viticula	
1597	twisted tendrils	vrilles	vrilles	n.f.	lat. viticula	
1598	type	type	type	n.m.		
1599	ultimately	fin, à la	fin, a la	n.f.		
1600	umbel	ombelle	ombelle	n.f.	lat. umbella, parasol	simple=inflorescence indéfinie
1601	umbel of spikes	ombelle d'épis	ombelle d'epis	n.f.		
1602	umbel, coumpound	ombelle composée	ombelle composee	n.f.		
1603	umbel, simple	ombelle simple	ombelle simple	n.f.		
1604	umbellate	ombelliforme?	ombelliforme?	adj.		
1605	unarmed	inerme	inerme	adj.	lat. inermis, sans armes	sans épines
1606	unbranched	ramifié, non	ramifie, non	adj.		
1607	underbark	interne, écorce?	interne, ecorce?	adj.		
1608	underscrub					
1609	understory	sous-bois	sous-bois	n.m.		
1610	undulate	ondulé	ondule	adj.		
1611	unequal	inégal	inegal	adj.		
1612	uni	uni	uni	préfixe	lat. unus, un, 	
1613	unifoliolate	unifoliolé	unifoliole	adj.	lat. unus, un, foliolum, petite feuille	
1614	unilocular	uniloculaire	uniloculaire	adj.	lat. unus, un, loculus, loge	gynécée dt l'ovaire est à une seule loge
1615	uninerved	uninervé	uninerve	adj.	lat. nervus, nerf	une seule nervure
1616	uniparous	unipare	unipare	adj.	lat. unus, un, paria, paire	
1617	uniparous, cyme	unipare, cyme	unipare, cyme	adj.	lat. unus, un, paria, paire	ramification d'1 seul côté de l'axe
1618	uniseriate	unisérié	uniserie	adj.		
1619	unisexual	unisexué	unisexue	adj.	lat. unus, un,  sexus, sexe	
1620	upcurved	recourbé	recourbe	v. tr.		
1621	upright	droit	droit	adj.		
1622	upturned	retourné	retourne	adj.		
1623	urceolate	urcéolé	urceole	adj.	lat. urceola, petite outre	en forme de grelot (corolle)
1624	urn-shaped	urne, en forme d'	urne, en forme d'	n.f.	lat. urna	
1625	utricle	utricule	utricule	n.m.	lat. utris, gourde	
1626	vacuole	vacuole	vacuole	n.f.	lat. vacuus, vide	
1627	valvate	valvaire	valvaire	adj.	lat. valva, battant de porte	assez densément revêtu de poils
1628	valvate aestivation	valvaire, préfloraison	valvaire, prefloraison	adj.	lat. valva, battant de porte	
1629	valve	valve	valve	adj.	lat. valva, battant de porte	
1630	vascular	vasculaire	vasculaire	adj.	lat. vasculum, petit vase	préfoliaison ou préfloraison
1631	vascular bundle	vasculaire, faisceau	vasculaire, faisceau	adj.	lat. vasculum, petit vase	
1632	vein	nervure	nervure	n.f.	lat. nervus, nerf	
1633	veinlet	nerville	nerville	n.f.	lat. nervus, nerf	
1634	veinlet	nerviole?	nerviole?	n.f.		
1635	velutinous	velutineux	velutineux	adj.	lat. villosus, velu?	
1636	velvet pubescent	veloutée, à pubescence	veloutee, a pubescence	adj.	de velours	
1637	venation	nervation	nervation	n.f.	lat. nervus, nerf	
1638	ventral	ventral	ventral	adj.	lat. ventralis	
1639	vernalization	vernalisation	vernalisation	n.f.	lat. vernus, printanier	
1640	vernation	vernation	vernation	n.f.	lat. vernatio	disposition des feuilles ds le bourgeon encore clos ou des pièces florales ds le bouton encpore fermé
1641	verrucate	verruqueux	verruqueux	adj.	lat. verrucosus	hérissé de petites excroissances (en principe non piquante)
1642	verrucose	verruqueux	verruqueux	adj.	lat. verrucosus	
1643	versatile	versatile	versatile	adj.	lat. versatilis, retourner	
1644	verticillaster	verticillastre	verticillastre	n.m.		false whorl
1645	verticillate	verticillé	verticille	adj.	lat. verticillus, vertex, sommet	plusieurs couleurs ou change de 
1646	vessel	vaisseau	vaisseau	n.m.	lat. vascellum	chacun des ensembles s'insérant sur un axe à un même niveau
1647	vestigial	vestige, à l'état de	vestige, a l'etat de	n.m.	lat. vestigium, trace de pied	
1648	vicariance	vicariant	vicariant	adj.	lat. vicarius, suppléant	leaf arrangement ion which 3 or more leaves arise at each node
1649	vines lianas	grimpantes, lianes	grimpantes, lianes	adj.		
